positive_1.wav,0116_003 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_2.wav,0116_008 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_3.wav,0116_025 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_4.wav,0116_036 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_5.wav,0116_061 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_6.wav,0116_069 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_7.wav,0116_086 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_8.wav,0116_087 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_9.wav,0116_088 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_10.wav,0116_089 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
positive_11.wav,0116_098 और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते,,,,Positive,neutral to positive
neutral_1.wav,0128_003 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_2.wav,0128_025 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_3.wav,0128_061 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_4.wav,0128_066 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_5.wav,0128_069 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_6.wav,0128_086 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_7.wav,0128_087 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_8.wav,0128_088 मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा,,,,Neutral,neutral to neutral
neutral_9.wav,0136_003 दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल,,,,Neutral,neutral to neutral
